Year,Title,Experience,Employment Status,Salary (USD),Employee Residence,Remote Ratio,Company Location,Company Size
2024,Software Engineer,Senior-level / Expert,Full-time,180000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,120000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,252000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,245000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,195000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,168000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,200000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,440000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,350000,United States,0,United States,Medium (50-250)
2024,Research Engineer,Senior-level / Expert,Full-time,360000,United States,0,United States,Medium (50-250)
2024,Platform Engineer,Mid-level / Intermediate,Full-time,110200,United States,0,United States,Medium (50-250)
2024,Platform Engineer,Mid-level / Intermediate,Full-time,132100,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,207000,United States,100,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,252000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,253000,United States,100,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,168000,United States,0,United States,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,150550,United States,100,United States,Medium (50-250)
2024,AI Research Scientist,Senior-level / Expert,Full-time,133333,Germany,100,Germany,Medium (50-250)
2024,Software Engineer,Senior-level / Expert,Full-time,109500,United States,100,United States,Medium (50-250)
2024,Research Scientist,Mid-level / Intermediate,Full-time,250000,United States,0,United States,Medium (50-250)
2024,Research Scientist,Mid-level / Intermediate,Full-time,145000,United States,0,United States,Medium (50-250)
2024,Research Scientist,Mid-level / Intermediate,Full-time,205000,United States,0,United States,Medium (50-250)
2024,Research Scientist,Mid-level / Intermediate,Full-time,136800,United States,0,United States,Medium (50-250)
2024,Data Architect,Senior-level / Expert,Full-time,195500,United States,0,United States,Medium (50-250)
2024,Data Architect,Senior-level / Expert,Full-time,144500,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,120000,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,180000,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,180000,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,180000,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,120000,United States,0,United States,Medium (50-250)
2024,ML Infrastructure Engineer,Senior-level / Expert,Full-time,264200,United States,0,United States,Medium (50-250)
2024,ML Infrastructure Engineer,Senior-level / Expert,Full-time,143100,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Senior-level / Expert,Full-time,129960,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Senior-level / Expert,Full-time,246640,United States,0,United States,Medium (50-250)
2024,Analytics Engineer,Senior-level / Expert,Full-time,120000,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Entry-level / Junior,Full-time,119000,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Senior-level / Expert,Full-time,355000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,359720,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Senior-level / Expert,Full-time,194000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,276760,Canada,0,Canada,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,148960,Canada,0,Canada,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,337250,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,184300,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,410000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,355000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,337250,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,184300,United States,0,United States,Medium (50-250)
2024,Applied Scientist,Entry-level / Junior,Full-time,168150,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,237500,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,137750,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,136800,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,194000,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,330764,United States,0,United States,Medium (50-250)
2024,Machine Learning Engineer,Senior-level / Expert,Full-time,224000,United States,0,United States,Medium (50-250)
